ALC12MWK,Numeric,2,0,Freq drank alcohol: Days per week
ALC12MYR,Numeric,3,0,Freq drank alcohol: Days in past year
ALCAMT,Numeric,2,0,Average # drinks on days drank
ALCSTAT,Numeric,2,0,Alcohol drinking status: Recode
AHEIGHT,Numeric,2,0,Total height in inches
AWEIGHTP,Numeric,3,0,Weight without shoes (pounds)
BMI,Numeric,4,0,Body Mass Index (BMI)
ASISIM,Numeric,1,0,How you think of yourself (sexual orientation; male)
ASISIF,Numeric,1,0,How do you think of yourself (Sexual orientation; female)
ASIRETR,Numeric,1,0,How worried are you about money for retirement
ASIMEDC,Numeric,1,0,How worried are you about medical costs of illness/accident
ASISTLV,Numeric,1,0,How worried are you about maintaining standard of living
ASICNHC,Numeric,1,0,How worried are you about medical costs of healthcare
ASICCOLL,Numeric,1,0,How worried are you about paying for children's college
ASINBILL,Numeric,1,0,How worried are you about paying monthly bills
ASIHCST,Numeric,1,0,How worried are you about paying rent/mortgage/housing costs
ASICCMP,Numeric,1,0,How worried are you about credit card payments
ASISLEEP,Numeric,2,0,Hours of sleep
ASISLPFL,Numeric,2,0,"# times having trouble falling asleep, past week"
ASISLPST,Numeric,2,0,"# times having trouble staying asleep, past week"
ASISLPMD,Numeric,2,0,"# times taking medication for sleep, past week"
ASIREST,Numeric,2,0,"Days woke up feeling rested, past week"
ASISAD,Numeric,1,0,"So sad nothing cheers you up, past 30 days"
ASINERV,Numeric,1,0,"How often felt nervous, past 30 days"
ASIRSTLS,Numeric,1,0,"How often restless/fidgety, past 30 days"
ASIHOPLS,Numeric,1,0,"How often felt hopeless, past 30 days"
ASIEFFRT,Numeric,1,0,"How often felt everything was an effort, past 30 days"
ASIWTHLS,Numeric,1,0,"How often felt worthless, past 30 days"
ASIMUCH,Numeric,1,0,"Feelings interfered w/ life, past 30 days"
ASIHIVT,Numeric,1,0,Ever been tested for HIV
ASIHIVWN,Numeric,2,0,Main reason not tested for HIV
AWEBUSE,Numeric,1,0,Internet use
AWEBOFNO,Numeric,3,0,Frequency internet use: # of units
AWEBOFTP,Numeric,1,0,Frequency internet use: Time units
